sheet_name,row_index,Sentence,Stimulus_clean,Transcription_clean,token_ratio,char_ratio,Score_manual
38001-1A,0,1,quiero cortarme el pelo,quiero cortarme el pelo,1.0,1.0,4
38001-1A,1,2,el libro esta en la mesa,el libro esta en la mesa,1.0,1.0,4
38001-1A,2,3,el carro lo tiene pedro,el carro lo tiene pedro,1.0,1.0,4
38001-1A,3,4,el se ducha cada manana,el se ducha cada manana,1.0,1.0,4
38001-1A,4,5,que dice usted que va a hacer hoy,que dices ustedes se que van a hacer hoy,0.8923076923076922,0.904109589041096,2
38001-1A,5,6,dudo que sepa manejar muy bien,dudo que sepa manajar bien,0.8928571428571429,0.8928571428571429,2
38001-1A,6,7,las calles de esta ciudad son muy anchas,las calles de esta cuidad son muy anchas,0.975,0.975,3
38001-1A,7,8,puede que llueva manana todo el dia,puede que lleva manana todo el dia,0.9855072463768115,0.9855072463768118,3
38001-1A,8,9,las casas son muy bonitas pero caras,las casas son muy bonitas pero muy cadas,0.9722222222222223,0.9210526315789473,3
38001-1A,9,10,me gustan las peliculas que acaban bien,me gustan las peliculas que acaban bien,1.0,1.0,4
38001-1A,10,11,el chico con el que yo salgo es espanol,el chico con yo salgo um esta bien,0.8285714285714286,0.7397260273972602,2
38001-1A,11,12,despues de cenar me fui a dormir tranquilo,despues de cenar me fui a dormir tranquilo,1.0,1.0,4
38001-1A,12,13,quiero una casa en la que vivan mis animales,quiero una casa que vivan los animales,0.9444444444444444,0.878048780487805,2
38001-1A,13,14,a nosotros nos fascinan las fiestas grandiosas,a nosotros nos fascina los fiestas grandiosos,0.9450549450549451,0.9450549450549449,2
38001-1A,14,15,ella solo bebe cerveza y no come nada,ella solo bebe cerveza y no come nada,1.0,1.0,4
38001-1A,15,16,me gustaria que el precio de las casas bajara,me gustaria que las precios de las casas bajaron,0.9213483146067416,0.9247311827956989,2
38001-1A,16,17,cruza a la derecha y despues sigue todo recto,cruza a la derecha y sigue a la izquierda,0.8387096774193549,0.6744186046511628,2
38001-1A,17,18,ella ha terminado de pintar su apartamento,ella ha terminado pintando su apartamento,0.9156626506024097,0.9156626506024097,2
